time,mnvel,errvel,tel
2458223.357685,613.100000,40.000000,SONG
2458224.382018,183.300000,40.000000,SONG
2458225.434460,67.300000,40.000000,SONG
2458233.607846,704.900000,40.000000,SONG
2458234.418452,770.200000,40.000000,SONG
2458235.720058,234.600000,40.000000,SONG
2458236.641036,32.200000,40.000000,SONG
2458237.678446,153.100000,40.000000,SONG
2458238.692052,603.900000,40.000000,SONG
2458241.674223,-70.700000,40.000000,SONG
2458243.368995,265.300000,40.000000,SONG
2458245.410918,805.600000,40.000000,SONG
2458246.571993,240.100000,40.000000,SONG
2458247.398019,-31.200000,40.000000,SONG
2458248.368253,82.600000,40.000000,SONG
2458249.365280,470.800000,40.000000,SONG
2458250.368275,844.000000,40.000000,SONG
2458250.681785,837.200000,40.000000,SONG
2458251.366037,687.000000,40.000000,SONG
2458251.666389,485.700000,40.000000,SONG
2458252.366480,192.900000,40.000000,SONG
2458253.365122,120.400000,40.000000,SONG
2458254.365100,237.800000,40.000000,SONG
2458255.374490,605.400000,40.000000,SONG
2458256.384282,796.100000,40.000000,SONG
2458257.382395,330.000000,40.000000,SONG
2458259.383303,18.000000,40.000000,SONG
2458263.567251,154.900000,40.000000,SONG
2458265.589542,291.400000,40.000000,SONG
2458267.372280,829.500000,40.000000,SONG
2458268.609046,306.400000,40.000000,SONG
2458270.572919,5.000000,40.000000,SONG
2458274.379165,192.800000,40.000000,SONG
2458280.423224,17.100000,40.000000,SONG
2458283.600292,812.600000,40.000000,SONG
2458418.763646,161.400000,40.000000,SONG
2458426.556824,222.300000,40.000000,SONG
2458434.627715,639.100000,40.000000,SONG
2458439.611331,713.900000,40.000000,SONG
2458448.692687,285.500000,40.000000,SONG
2458449.708606,658.200000,40.000000,SONG
2458450.690659,709.900000,40.000000,SONG
2458453.742034,106.800000,40.000000,SONG
2458454.745732,493.100000,40.000000,SONG
2458548.824216,402.700000,20.400000,TRES
2458566.788751,877.400000,38.100000,TRES
2458568.804163,159.800000,22.800000,TRES
2458569.643873,-27.600000,32.900000,TRES
2458570.638165,151.700000,27.700000,TRES
2458570.893951,291.200000,24.400000,TRES
2458571.650562,726.400000,29.200000,TRES
2458571.768010,734.400000,25.400000,TRES
2458572.781102,801.400000,58.100000,TRES
2458573.918608,303.800000,28.700000,TRES
2458574.618596,130.800000,36.500000,TRES
2458575.626432,15.100000,24.500000,TRES
2458576.685400,423.300000,30.400000,TRES
2458577.655622,820.400000,25.700000,TRES
2458577.812743,860.000000,31.600000,TRES
2458586.621310,20.000000,40.000000,SONG
2458586.716848,-11.200000,33.200000,TRES
2458591.721299,39.800000,43.200000,TRES
2458594.703421,710.900000,40.000000,SONG
2458594.763412,914.200000,35.900000,TRES
2458597.690503,-29.500000,42.400000,TRES
2458598.446201,150.200000,40.000000,SONG
2458600.395783,819.700000,40.000000,SONG
2458602.394577,19.700000,40.000000,SONG
2458604.398027,462.900000,40.000000,SONG
2458606.403578,680.600000,40.000000,SONG
2458608.402462,-36.200000,40.000000,SONG
2458610.402961,656.700000,40.000000,SONG
2458612.656473,323.000000,40.000000,SONG
2458614.640588,99.400000,40.000000,SONG
2458616.679269,892.400000,40.000000,SONG
2458621.434468,611.200000,40.000000,SONG
2458623.623973,586.700000,40.000000,SONG
2458625.668018,199.200000,40.000000,SONG
2458627.634024,974.200000,40.000000,SONG
2458629.638527,312.800000,40.000000,SONG
2458631.621685,345.400000,40.000000,SONG
2458633.654485,949.800000,40.000000,SONG
2458638.605001,913.800000,40.000000,SONG
2458643.571329,579.700000,40.000000,SONG
