time,mnvel,errvel,tel
2458223.357685,613.100000,40.000000,SONG
2458224.382018,183.300000,40.000000,SONG
2458225.434460,67.300000,40.000000,SONG
2458233.607846,704.900000,40.000000,SONG
2458234.418452,770.200000,40.000000,SONG
2458235.720058,234.600000,40.000000,SONG
2458236.641036,32.200000,40.000000,SONG
2458237.678446,153.100000,40.000000,SONG
2458238.692052,603.900000,40.000000,SONG
2458241.674223,-70.700000,40.000000,SONG
2458243.368995,265.300000,40.000000,SONG
2458245.410918,805.600000,40.000000,SONG
2458246.571993,240.100000,40.000000,SONG
2458247.398019,-31.200000,40.000000,SONG
2458248.368253,82.600000,40.000000,SONG
2458249.365280,470.800000,40.000000,SONG
2458250.368275,844.000000,40.000000,SONG
2458250.681785,837.200000,40.000000,SONG
2458251.366037,687.000000,40.000000,SONG
2458251.666389,485.700000,40.000000,SONG
2458252.366480,192.900000,40.000000,SONG
2458253.365122,120.400000,40.000000,SONG
2458254.365100,237.800000,40.000000,SONG
2458255.374490,605.400000,40.000000,SONG
2458256.384282,796.100000,40.000000,SONG
2458257.382395,330.000000,40.000000,SONG
2458259.383303,18.000000,40.000000,SONG
2458263.567251,154.900000,40.000000,SONG
2458265.589542,291.400000,40.000000,SONG
2458267.372280,829.500000,40.000000,SONG
2458268.609046,306.400000,40.000000,SONG
2458270.572919,5.000000,40.000000,SONG
2458274.379165,192.800000,40.000000,SONG
2458280.423224,17.100000,40.000000,SONG
2458283.600292,812.600000,40.000000,SONG
2458418.763646,161.400000,40.000000,SONG
2458426.556824,222.300000,40.000000,SONG
2458434.627715,639.100000,40.000000,SONG
2458439.611331,713.900000,40.000000,SONG
2458448.692687,285.500000,40.000000,SONG
2458449.708606,658.200000,40.000000,SONG
2458450.690659,709.900000,40.000000,SONG
2458453.742034,106.800000,40.000000,SONG
2458454.745732,493.100000,40.000000,SONG
2458548.824216,402.700000,20.400000,TRES
2458566.788751,877.400000,38.100000,TRES
2458568.720993,-252.265357,30.984335,MINERVANorth
2458568.804163,159.800000,22.800000,TRES
2458569.643873,-27.600000,32.900000,TRES
2458570.638165,151.700000,27.700000,TRES
2458570.854917,-191.496105,26.981789,MINERVANorth
2458570.893951,291.200000,24.400000,TRES
2458571.650562,726.400000,29.200000,TRES
2458571.768010,734.400000,25.400000,TRES
2458571.863809,261.241251,32.691826,MINERVANorth
2458572.781102,801.400000,58.100000,TRES
2458573.918608,303.800000,28.700000,TRES
2458574.618596,130.800000,36.500000,TRES
2458574.748109,-533.341766,95.905947,MINERVANorth
2458575.626432,15.100000,24.500000,TRES
2458575.830846,-367.339506,48.510947,MINERVANorth
2458576.685400,423.300000,30.400000,TRES
2458576.785977,70.004764,37.627897,MINERVANorth
2458577.655622,820.400000,25.700000,TRES
2458577.812743,860.000000,31.600000,TRES
2458580.839304,-538.315921,57.261281,MINERVANorth
2458581.861483,-166.464286,36.324178,MINERVANorth
2458582.763868,179.796422,19.886349,MINERVANorth
2458583.763981,422.420868,37.971424,MINERVANorth
2458584.798521,110.034322,37.892056,MINERVANorth
2458586.621310,20.000000,40.000000,SONG
2458586.716848,-11.200000,33.200000,TRES
2458586.832756,-396.815460,26.360699,MINERVANorth
2458588.746416,353.721625,39.951653,MINERVANorth
2458589.812940,315.250378,50.437917,MINERVANorth
2458591.716303,-442.510336,41.228743,MINERVANorth
2458591.721299,39.800000,43.200000,TRES
2458594.703421,710.900000,40.000000,SONG
2458594.763412,914.200000,35.900000,TRES
2458594.824186,392.312405,6.241085,MINERVANorth
2458595.806047,41.846855,77.209288,MINERVANorth
2458596.760776,-309.609608,40.097855,MINERVANorth
2458597.690503,-29.500000,42.400000,TRES
2458597.875369,-506.950012,39.509665,MINERVANorth
2458598.446201,150.200000,40.000000,SONG
2458598.784523,-85.005804,24.219910,MINERVANorth
2458599.787089,369.057555,17.924412,MINERVANorth
2458600.395783,819.700000,40.000000,SONG
2458600.817261,322.778659,35.540694,MINERVANorth
2458601.733718,-146.037175,36.805541,MINERVANorth
2458602.394577,19.700000,40.000000,SONG
2458602.742555,-439.990772,53.501272,MINERVANorth
2458603.752313,-425.773298,16.594104,MINERVANorth
2458604.398027,462.900000,40.000000,SONG
2458604.786229,218.172836,53.298821,MINERVANorth
2458606.403578,680.600000,40.000000,SONG
2458608.402462,-36.200000,40.000000,SONG
2458609.711424,-165.434238,36.632777,MINERVANorth
2458610.402961,656.700000,40.000000,SONG
2458610.754913,289.243573,29.689888,MINERVANorth
2458612.656473,323.000000,40.000000,SONG
2458612.768976,-163.234587,34.175111,MINERVANorth
2458614.640588,99.400000,40.000000,SONG
2458614.746953,-386.845003,30.267305,MINERVANorth
2458616.679269,892.400000,40.000000,SONG
2458617.646474,172.607423,70.676913,MINERVANorth
2458621.434468,611.200000,40.000000,SONG
2458623.623973,586.700000,40.000000,SONG
2458625.668018,199.200000,40.000000,SONG
2458627.634024,974.200000,40.000000,SONG
2458628.772688,72.176022,151.772621,MINERVANorth
2458629.638527,312.800000,40.000000,SONG
2458629.791131,-321.302212,132.488814,MINERVANorth
2458630.810296,-513.688490,113.726546,MINERVANorth
2458631.621685,345.400000,40.000000,SONG
2458631.823925,-143.977017,84.828918,MINERVANorth
2458633.654485,949.800000,40.000000,SONG
2458638.605001,913.800000,40.000000,SONG
2458643.571329,579.700000,40.000000,SONG
2458643.701377,289.575718,49.417587,MINERVANorth
2458673.696771,39.244085,170.767730,MINERVANorth
2458767.956565,184.547579,119.562194,MINERVANorth
2458775.876720,-333.834421,121.174307,MINERVANorth
2458776.940146,346.335774,44.554118,MINERVANorth
2458804.935230,536.937957,169.022983,MINERVANorth
2458810.886071,596.046873,85.386130,MINERVANorth
